sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
1_2015_07,2015,,75-79,1,07,5780,6.467
2_2015_07,2015,,75-79,2,07,6710,11.26
9_2015_07,2015,,75-79,9,07,12500,9.042
1_2015_07,2015,,80-84,1,07,4610,7.749
2_2015_07,2015,,80-84,2,07,6180,12.14
9_2015_07,2015,,80-84,9,07,10790,10.264
1_2015_07,2015,,85-89,1,07,2770,9.34
2_2015_07,2015,,85-89,2,07,5180,14.162
9_2015_07,2015,,85-89,9,07,7960,12.481
1_2015_07,2015,,90-94,1,07,1250,9.888
2_2015_07,2015,,90-94,2,07,3120,15.646
9_2015_07,2015,,90-94,9,07,4370,13.995
1_2015_07,2015,,95et+,1,07,230,12.121
2_2015_07,2015,,95et+,2,07,840,13.604
9_2015_07,2015,,95et+,9,07,1070,13.283
1_2015_07,2015,,tsage,1,07,150150,3.056
2_2015_07,2015,,tsage,2,07,162090,6.216
9_2015_07,2015,,tsage,9,07,312250,4.696
1_2015_08,2015,,00-04,1,08,7570,0
2_2015_08,2015,,00-04,2,08,7340,0
9_2015_08,2015,,00-04,9,08,14910,0
1_2015_08,2015,,05-09,1,08,8270,0
2_2015_08,2015,,05-09,2,08,7960,0
9_2015_08,2015,,05-09,9,08,16230,0
1_2015_08,2015,,10-14,1,08,8330,0.156
2_2015_08,2015,,10-14,2,08,7880,0
9_2015_08,2015,,10-14,9,08,16210,0.142
1_2015_08,2015,,15-19,1,08,8130,0.295
2_2015_08,2015,,15-19,2,08,8030,0.697
9_2015_08,2015,,15-19,9,08,16160,0.495
1_2015_08,2015,,20-24,1,08,6900,0.681
2_2015_08,2015,,20-24,2,08,7030,1.55
9_2015_08,2015,,20-24,9,08,13930,1.12
1_2015_08,2015,,25-29,1,08,7110,1.28
2_2015_08,2015,,25-29,2,08,7560,2.314
9_2015_08,2015,,25-29,9,08,14670,1.813
1_2015_08,2015,,30-34,1,08,7180,2.132
2_2015_08,2015,,30-34,2,08,7790,3.646
9_2015_08,2015,,30-34,9,08,14970,2.92
1_2015_08,2015,,35-39,1,08,7070,2.757
2_2015_08,2015,,35-39,2,08,7510,5.7
9_2015_08,2015,,35-39,9,08,14580,4.273
1_2015_08,2015,,40-44,1,08,8250,4.015
2_2015_08,2015,,40-44,2,08,8590,8.456
9_2015_08,2015,,40-44,9,08,16830,6.28
1_2015_08,2015,,45-49,1,08,8560,4.171
2_2015_08,2015,,45-49,2,08,8950,9.65
9_2015_08,2015,,45-49,9,08,17510,6.972
1_2015_08,2015,,50-54,1,08,9050,4.396
2_2015_08,2015,,50-54,2,08,9340,10.183
9_2015_08,2015,,50-54,9,08,18390,7.335
1_2015_08,2015,,55-59,1,08,8800,5.592
2_2015_08,2015,,55-59,2,08,9200,11.043
9_2015_08,2015,,55-59,9,08,18000,8.379
1_2015_08,2015,,60-64,1,08,8690,4.728
2_2015_08,2015,,60-64,2,08,9250,10.737
9_2015_08,2015,,60-64,9,08,17940,7.826
1_2015_08,2015,,65-69,1,08,8260,5.245
2_2015_08,2015,,65-69,2,08,8770,10.368
9_2015_08,2015,,65-69,9,08,17020,7.884
1_2015_08,2015,,70-74,1,08,4570,5.232
2_2015_08,2015,,70-74,2,08,5010,11.089
9_2015_08,2015,,70-74,9,08,9570,8.294
1_2015_08,2015,,75-79,1,08,4290,6.01
2_2015_08,2015,,75-79,2,08,5520,12.319
9_2015_08,2015,,75-79,9,08,9810,9.559
1_2015_08,2015,,80-84,1,08,3360,7.139
2_2015_08,2015,,80-84,2,08,5320,13.228
9_2015_08,2015,,80-84,9,08,8680,10.871
1_2015_08,2015,,85-89,1,08,1830,9.787
2_2015_08,2015,,85-89,2,08,3810,14.079
9_2015_08,2015,,85-89,9,08,5640,12.686
1_2015_08,2015,,90-94,1,08,740,10.87
2_2015_08,2015,,90-94,2,08,2000,14.85
9_2015_08,2015,,90-94,9,08,2740,13.779
1_2015_08,2015,,95et+,1,08,110,0
2_2015_08,2015,,95et+,2,08,460,14.474
9_2015_08,2015,,95et+,9,08,560,13.547
1_2015_08,2015,,tsage,1,08,127060,3.118
2_2015_08,2015,,tsage,2,08,137300,6.818
